Section,Subsection,,Link(s),Title,Author(s),Affiliation,PMID,PMCID,PubDate,MeSH,Abstract,PubType
,,A case of acute interstitial nephritis following Pfizer: https://pubmed.ncbi.nlm.nih.gov/34219853/,https://pubmed.ncbi.nlm.nih.gov/34219853 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8238650/,[A Case of Acute interstitial nephritis following the Pfizer-BioNTech COVID-19 Vaccine].,"de la Flor, José; Linares, Tania; Alonso-Riaño, Marina; Segura, Pilar; Albarracin, Cristina; Ruiz, Elisa; Gallegos, Gioconda; Pozo, Miguel Rodeles Del","Servicio de Nefrología, Hospital central de la defensa Gómez Ulla, Madrid, España.; Servicio de Nefrología, Hospital central de la defensa Gómez Ulla, Madrid, España.; Servicio de Anatomía Patológica, Hospital 12 de octubre, Madrid, España.; Servicio de Medicina Preventiva, Hospital central de la defensa Gómez Ulla, Madrid, España.; Servicio de Nefrología, Hospital central de la defensa Gómez Ulla, Madrid, España.; Servicio de Nefrología, Hospital central de la defensa Gómez Ulla, Madrid, España.; Servicio de Nefrología, Hospital central de la defensa Gómez Ulla, Madrid, España.; Servicio de Nefrología, Hospital central de la defensa Gómez Ulla, Madrid, España.",34219853,PMC8238650,2021-06-29 00:00:00,,,Vaccine Publication
,,Acute interstitial nephritis in a 45yoF following 2 doses of Pfizer: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8650829/
,,Isolated renal arteritis with infarction after Pfizer COVID-19 vaccination: https://pubmed.ncbi.nlm.nih.gov/35095058/,https://pubmed.ncbi.nlm.nih.gov/35095058 ,Isolated Renal Arteritis With Infarction Identified After SARS-CoV-2 Vaccine.,"Masumoto, Akiko; Yamamoto, Hiroyuki; Taniguchi, Yasuyo; Kawai, Hiroya; Takaya, Tomofumi","Division of Cardiovascular Medicine, Hyogo Brain and Heart Center.; Division of Cardiovascular Medicine, Hyogo Brain and Heart Center.; Division of Cardiovascular Medicine, Hyogo Brain and Heart Center.; Division of Cardiovascular Medicine, Hyogo Brain and Heart Center.; Department of Exploratory and Advanced Search in Cardiology, Kobe University Graduate School of Medicine.; Division of Cardiovascular Medicine, Hyogo Brain and Heart Center.; Department of Exploratory and Advanced Search in Cardiology, Kobe University Graduate School of Medicine.",35095058,,2022-01-29 00:00:00,,,Vaccine Publication
,,13 cases of new or relapsed glomerulonephritis following mRNA vaccination: https://pubmed.ncbi.nlm.nih.gov/34632166/,https://pubmed.ncbi.nlm.nih.gov/34632166 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8493782/,COVID-19 Vaccination and Glomerulonephritis.,"Klomjit, Nattawat; Alexander, Mariam Priya; Fervenza, Fernando C; Zoghby, Ziad; Garg, Arvind; Hogan, Marie C; Nasr, Samih H; Minshar, Marwan Abu; Zand, Ladan","Division of Nephrology and Hypertension, Mayo Clinic, Rochester, Minnesota, USA.; Division of Nephrology and Hypertension, University of Minnesota, Minneapolis, Minnesota, USA.; Department of Pathology and Laboratory Medicine, Mayo Clinic, Rochester, Minnesota, USA.; Division of Nephrology and Hypertension, Mayo Clinic, Rochester, Minnesota, USA.; Division of Nephrology and Hypertension, Mayo Clinic, Rochester, Minnesota, USA.; Division of Nephrology and Hypertension, Mayo Clinic, Rochester, Minnesota, USA.; Division of Nephrology and Hypertension, Mayo Clinic, Rochester, Minnesota, USA.; Department of Pathology and Laboratory Medicine, Mayo Clinic, Rochester, Minnesota, USA.; Division of Nephrology and Hypertension, Essentia Health, Fargo, North Dakota, USA.; Division of Nephrology and Hypertension, Mayo Clinic, Rochester, Minnesota, USA.",34632166,PMC8493782,2021-12-01 00:00:00,,"INTRODUCTION: mRNA COVID-19 vaccine is more effective than traditional vaccines owing to superior immune activation. Nevertheless, the impact of mRNA COVID-19 vaccine on triggering de novo/relapsing glomerulonephritis (GN) is limited. We report a case series of patients who developed new or relapsing GN postvaccination. METHODS: We evaluated baseline characteristics, vaccine type, and clinical outcomes of 13 patients from our institution who had a new diagnosis or relapse of their GN post-mRNA COVID-19 vaccination. RESULTS: Of 13 patients, 8 patients were newly diagnosed with having GN and 5 patients had relapse. Median age was 62 years (range 19-83 years). Autoimmune disease (38%) was the most prevalent underlying disease followed by cancer (23%). Most patients were White males. IgA nephropathy (IgAN) was the most common GN in our series (5 patients, 38%) followed by membranous nephropathy (MN) (3 patients, 23%). There was 1 patient with IgAN who had evidence of IgA deposits before vaccination suggesting the immune activation after vaccination triggered a flare of the disease. Our case series also included the first case report of tip-variant focal segmental glomerulosclerosis (FSGS), NELL-1-associated MN, and atypical anti-glomerular basement membrane (GBM) nephritis. A total of 77% developed acute kidney injury (AKI) with most being Kidney Disease: Improving Global Outcomes stage 1 (67%). Outcomes are favorable with 80% responding to therapy. CONCLUSION: New cases and relapse of GN can present shortly after mRNA COVID-19 vaccination. New cases of IgAN may result from unmasking of undiagnosed IgAN owing to robust immune activation rather than development of new deposits.",Vaccine Publication
,,48 cases of new onset and relapsed kidney histopathology following COVID-19 vaccination: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8622870/
,,New onset of Class III lupus nephritis with multi-organ involvement after Pfizer: https://pubmed.ncbi.nlm.nih.gov/35108572/,https://pubmed.ncbi.nlm.nih.gov/35108572 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8802143/,New-onset class III lupus nephritis with multi-organ involvement after COVID-19 vaccination.,"Kim, Hyo Jeong; Jung, Minsun; Lim, Beom Jin; Han, Seung Hyeok","Department of Internal Medicine, Yonsei University College of Medicine, Institute of Kidney Disease Research, Seoul, Republic of Korea.; Department of Pathology, Yonsei University College of Medicine, Seoul, Republic of Korea.; Department of Pathology, Yonsei University College of Medicine, Seoul, Republic of Korea.; Department of Internal Medicine, Yonsei University College of Medicine, Institute of Kidney Disease Research, Seoul, Republic of Korea. Electronic address: hansh@yuhs.ac.",35108572,PMC8802143,2022-04-01 00:00:00,"Biopsy; *COVID-19/prevention & control; COVID-19 Vaccines/adverse effects; Humans; *Lupus Erythematosus, Systemic; *Lupus Nephritis; Vaccination/adverse effects",,Vaccine Publication
,,IgA nephropathy presenting as rapidly progressive glomerulonephritis in a 13yo following 1st dose of Pfizer,IgA nephropathy presenting as rapidly progressive glomerulonephritis in a 13yo following 1st dose of Pfizer:]https://pubmed.ncbi.nlm.nih.gov/34786589/  
,,IgA and crescentic glomerulonephritis following Pfizer,IgA and crescentic glomerulonephritis following Pfizer:
,,17yoM with newly diagnosed IgA nephropathy with gross hematuria following Pfizer vaccination: https://pubmed.ncbi.nlm.nih.gov/34865167/,https://pubmed.ncbi.nlm.nih.gov/34865167 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8690244/,Newly diagnosed IgA nephropathy with gross haematuria following COVID-19 vaccination.,"Horino, T; Sawamura, D; Inotani, S; Ishihara, M; Komori, M; Ichii, O","From the Department of Endocrinology, Metabolism and Nephrology, Kochi Medical School, Kochi University, Kohasu, Oko-cho, Nankoku, Kochi 783-8505, Japan.; From the Department of Endocrinology, Metabolism and Nephrology, Kochi Medical School, Kochi University, Kohasu, Oko-cho, Nankoku, Kochi 783-8505, Japan.; From the Department of Endocrinology, Metabolism and Nephrology, Kochi Medical School, Kochi University, Kohasu, Oko-cho, Nankoku, Kochi 783-8505, Japan.; Department of Paediatrics, Kochi Medical School, Kochi University, Kohasu,; Department of Otolaryngology, Kochi Medical School, Kochi University, Kohasu,; Laboratory of Anatomy, Department of Basic Veterinary Sciences, Faculty of Veterinary Medicine, Hokkaido University, Kita 18, Nishi 9, Kita-Ku, Sapporo",34865167,PMC8690244,2022-01-21 00:00:00,"*COVID-19; COVID-19 Vaccines; *Glomerulonephritis, IGA/diagnosis; Hematuria/etiology; Humans; SARS-CoV-2; Vaccination",,Vaccine Publication
,,17yoF with IgA nephropathy following Pfizer: https://pubmed.ncbi.nlm.nih.gov/35118635/,https://pubmed.ncbi.nlm.nih.gov/35118635 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8812345/,An adolescent girl diagnosed with IgA nephropathy following the first dose of the,"Okada, Mari; Kikuchi, Eriko; Nagasawa, Masayuki; Oshiba, Akihiro; Shimoda, Masuhiro","Department of Pediatrics, Musashino Red Cross Hospital, 1-26-1, Kyonan-cho,; Department of Pediatrics, Nerima Hikarigaoka Hospital, 2-11-1, Hikarigaoka,; Department of Pediatrics, Musashino Red Cross Hospital, 1-26-1, Kyonan-cho,; Department of Pediatrics, Musashino Red Cross Hospital, 1-26-1, Kyonan-cho,; Department of Pediatrics, Nerima Hikarigaoka Hospital, 2-11-1, Hikarigaoka,",35118635,PMC8812345,2022-02-03 00:00:00,,There has been growing interest in reported cases of IgA nephropathy (IgAN),Vaccine Publication
,,IgA nephropathy in a 28yoF following Pfizer: https://pubmed.ncbi.nlm.nih.gov/35110484/,https://pubmed.ncbi.nlm.nih.gov/35110484 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9038465/,IgA Nephropathy with Gross Hematuria Following COVID-19 mRNA Vaccination.,"Nihei, Yoshihito; Kishi, Monami; Suzuki, Hitoshi; Koizumi, Ayako; Yoshida, Maiko; Hamaguchi, Sho; Iwasaki, Masako; Fukuda, Hiromitsu; Takahara, Hisatsugu; Kihara, Masao; Tomita, Shigeki; Suzuki, Yusuke","Department of Nephrology, Juntendo University Faculty of Medicine, Japan.; Department of Human Pathology, Juntendo University School of Medicine, Japan.; Department of Nephrology, Juntendo University Faculty of Medicine, Japan.; Department of Nephrology, Juntendo University Urayasu Hospital, Japan.; Department of Nephrology, Juntendo University Faculty of Medicine, Japan.; Department of Nephrology, Juntendo University Faculty of Medicine, Japan.; Department of Nephrology, Juntendo University Faculty of Medicine, Japan.; Department of Nephrology, Juntendo University Urayasu Hospital, Japan.; Department of Nephrology, Juntendo University Urayasu Hospital, Japan.; Department of Nephrology, Juntendo University Urayasu Hospital, Japan.; Department of Nephrology, Juntendo University Faculty of Medicine, Japan.; Department of Human Pathology, Juntendo University School of Medicine, Japan.; Department of Pathology, Juntendo University Urayasu Hospital, Japan.; Department of Nephrology, Juntendo University Faculty of Medicine, Japan.",35110484,PMC9038465,2022-04-01 00:00:00,"Adult; BNT162 Vaccine; *COVID-19; COVID-19 Vaccines/adverse effects; Female; *Glomerulonephritis, IGA/diagnosis; Hematuria/etiology; Humans; Immunoglobulin A; RNA, Messenger; Vaccination; Vaccines, Synthetic; mRNA Vaccines","A 28-year-old woman experienced gross hematuria after the administration of the second dose of an messenger ribonucleic acid (mRNA) vaccine (BNT162b2). She was diagnosed with Immunogloblin A nephropathy (IgAN) by a renal biopsy two weeks after vaccination, which revealed a mild increase in mesangial cells and a matrix with co-depositions of galactose-deficient IgA1 and C3 in the mesangial region. The gross hematuria and proteinuria gradually improved without any medication, suggesting that immune activation by the mRNA vaccine may not elicit continuous disease progression of IgAN. Thus, further studies investigating the relationship between mRNA vaccines against COVID-19 and the progression of IgAN should be conducted.",Vaccine Publication
,,28yoF with flare up of IgA nephropathy following Pfizer: https://pubmed.ncbi.nlm.nih.gov/35108771/,https://pubmed.ncbi.nlm.nih.gov/35108771 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8816416/,Renal side effects of COVID-19 vaccines in patients with immunoglobulin A nephropathy.,"Park, Jae Seok; Lee, Eun Young","Agape Internal Medicine Clinic, Cheongju, Republic of Korea.; Department of Internal Medicine, Soonchunhyang University Cheonan Hospital, Cheonan, Republic of Korea.",35108771,PMC8816416,2022-01-01 00:00:00,,,Vaccine Publication
,,29yoF with hematuria and likely IgA nephritis following Pfizer: https://pubmed.ncbi.nlm.nih.gov/35102819/,https://pubmed.ncbi.nlm.nih.gov/35102819 ,Hematuria after COVID-19 vaccination: A case report.,"Díez Arias, Pablo; Fernández Ramos, Andrés; Ruano, Pablo; Sánchez, Carmen; Quiroga, Borja",,35102819,,2022-04-01 00:00:00,"*COVID-19/prevention & control; COVID-19 Vaccines/adverse effects; *Glomerulonephritis, IGA/complications; Hematuria/etiology; Humans; Vaccination/adverse effects",,Vaccine Publication
,,IgA nephropathy flare up following Moderna: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8079938/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8079938/
,,IgA Nephropathy after mRNA vaccine: https://pubmed.ncbi.nlm.nih.gov/34278290/,https://pubmed.ncbi.nlm.nih.gov/34278290 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277542/,IgA Nephropathy After SARS-CoV-2 Vaccination.,"Abramson, Matthew; Mon-Wei Yu, Samuel; Campbell, Kirk N; Chung, Miriam; Salem, Fadi","Division of Nephrology Icahn School of Medicine at Mount Sinai, New York, New York.; Division of Nephrology Icahn School of Medicine at Mount Sinai, New York, New York.; Division of Nephrology Icahn School of Medicine at Mount Sinai, New York, New York.; Division of Nephrology Icahn School of Medicine at Mount Sinai, New York, New York.; Department of Pathology, Molecular & Cell Based Medicine, Icahn School of Medicine at Mount Sinai, New York, New York.",34278290,PMC8277542,2021-09-01 00:00:00,,Here we present the first case of newly diagnosed IgA nephropathy (IgAN) after a,Vaccine Publication
,,IgA nephropathy flare-up following vaccination: https://pubmed.ncbi.nlm.nih.gov/34415336/,https://pubmed.ncbi.nlm.nih.gov/34415336 ,IgA nephropathy flare-up following SARS-CoV-2 vaccination.,"Horino, T","From the Department of Endocrinology, Metabolism and Nephrology, Kochi Medical School, Kochi University, Kohasu, Oko-cho, Nankoku, Kochi 783-8505, Japan.",34415336,,2021-12-20 00:00:00,"*COVID-19; COVID-19 Vaccines; *Glomerulonephritis, IGA; Humans; SARS-CoV-2; Vaccination",,Vaccine Publication
,,IgA nephropathy following vaccination in a renal transplant recipient with a history of aristolochic acid nephropathy: https://pubmed.ncbi.nlm.nih.gov/34816609/,https://pubmed.ncbi.nlm.nih.gov/34816609 ,IgA nephropathy following SARS-CoV-2 vaccination in a renal transplant recipient with a history of aristolochic acid nephropathy.,"Mokos, Mislav; Bašić-Jukić, Nikolina","Department of Nephrology, Arterial Hypertension, Dialysis and Transplantation, University Hospital Centre Zagreb, School of Medicine, University of Zagreb, Zagreb, Croatia.; Department of Nephrology, Arterial Hypertension, Dialysis and Transplantation, University Hospital Centre Zagreb, School of Medicine, University of Zagreb, Zagreb, Croatia.",34816609,,2022-06-01 00:00:00,"Aristolochic Acids; *COVID-19; COVID-19 Vaccines/adverse effects; Female; *Glomerulonephritis, IGA; Humans; *Kidney Transplantation; Male; SARS-CoV-2; Vaccination",,Vaccine Publication
,,IgA nephropathy in 2 pediatric patients after Pfizer (13 and 17yo): https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8256683/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8256683/
,,3 cases of IgA nephropathy patients developing exacerbations following mRNA vaccine:https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8166778/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8166778/
,,2 cases of IgA nephropathy patients developing exacerbations following moderna: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7987498/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7987498/
,,2 cases of IgA Nephropathy patients developing hematuria after Pfizer: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8329426/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8329426/
,,Reactivation of IgA vasculitis following Moderna: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8260100/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8260100/
,,Reactivation of IgA vasculitis following Pfizer: https://pubmed.ncbi.nlm.nih.gov/34848431/,https://pubmed.ncbi.nlm.nih.gov/34848431 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8634214/,Reactivation of IgA vasculitis following COVID-19 vaccination.,"Maye, James A; Chong, Hsu Pheen; Rajagopal, Vivek; Petchey, William","Department of General Medicine, West Suffolk Hospital NHS Foundation Trust, Bury St Edmunds, UK j.anthonymaye@gmail.com.; Department of General Medicine, West Suffolk Hospital NHS Foundation Trust, Bury St Edmunds, UK.; Department of Nephrology, West Suffolk Hospital NHS Foundation Trust, Bury St Edmunds, UK.; Department of General Medicine, West Suffolk Hospital NHS Foundation Trust, Bury St Edmunds, UK.; Department of Rheumatology, West Suffolk Hospital, Bury St Edmunds, UK.; Department of General Medicine, West Suffolk Hospital NHS Foundation Trust, Bury St Edmunds, UK.; Department of Nephrology, West Suffolk Hospital NHS Foundation Trust, Bury St Edmunds, UK.",34848431,PMC8634214,2021-11-30 00:00:00,Adult; *COVID-19; COVID-19 Vaccines; Humans; Male; SARS-CoV-2; Vaccination; Young Adult,A 23-year-old man presented to the acute assessment unit with acute-onset haematuria within 24 hours of receiving his second dose of the Pfizer-BioNTech,Vaccine Publication
,,Case of IgA vasculitis following Pfizer vaccination: https://pubmed.ncbi.nlm.nih.gov/34535924/,https://pubmed.ncbi.nlm.nih.gov/34535924 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8652428/,Case of immunoglobulin A vasculitis following coronavirus disease 2019 vaccination.,"Iwata, Hiroka; Kamiya, Koji; Kado, Soichiro; Nakaya, Takeo; Kawata, Hirotoshi; Komine, Mayumi; Ohtsuki, Mamitaro","Department of Dermatology, Jichi Medical University, Shimotsuke, Japan.; Department of Dermatology, Jichi Medical University, Shimotsuke, Japan.; Department of Dermatology, Ibaraki Western Medical Center, Chikusei, Japan.; Department of Pathology, Jichi Medical University, Shimotsuke, Japan.; Department of Pathology, Jichi Medical University, Shimotsuke, Japan.; Department of Dermatology, Jichi Medical University, Shimotsuke, Japan.; Department of Dermatology, Jichi Medical University, Shimotsuke, Japan.",34535924,PMC8652428,2021-12-01 00:00:00,*COVID-19; Humans; *IgA Vasculitis; Immunoglobulin A; SARS-CoV-2; Vaccination/adverse effects,,Vaccine Publication
,,IgA vasculitis following AstraZeneca: https://pubmed.ncbi.nlm.nih.gov/34509658/,https://pubmed.ncbi.nlm.nih.gov/34509658 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8427903/,IgA vasculitis in adult patient following vaccination by ChadOx1 nCoV-19.,"Badier, Laure; Toledano, Albanie; Porel, Tiphaine; Dumond, Sylvain; Jouglen, Julien; Sailler, Laurent; Bagheri, Haleh; Moulis, Guillaume; Lafaurie, Margaux","Pharmacovigilance Center, Department of Clinical Pharmacology, Toulouse University Hospital, France.; Department of Internal Medicine, Toulouse University hospital, France.; Department of Internal Medicine, Toulouse University hospital, France.; Department of Pharmacy, Toulouse University Hospital, France.; Department of Pharmacy, Toulouse University Hospital, France.; Department of Internal Medicine, Toulouse University hospital, France.; Pharmacovigilance Center, Department of Clinical Pharmacology, Toulouse University Hospital, France.; Department of Internal Medicine, Toulouse University hospital, France.; Pharmacovigilance Center, Department of Clinical Pharmacology, Toulouse University Hospital, France. Electronic address: margaux.lafaurie@univ-tlse3.fr.",34509658,PMC8427903,2021-11-01 00:00:00,Adult; *COVID-19; COVID-19 Vaccines; ChAdOx1 nCoV-19; Humans; Immunoglobulin A; Vaccination; *Vasculitis,,Vaccine Publication
,,IgA vasculitis with renal and skin involvement following vaccination: https://pubmed.ncbi.nlm.nih.gov/34779011/,https://pubmed.ncbi.nlm.nih.gov/34779011 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8652641/,Post-COVID-19 vaccination IgA vasculitis in an adult.,"Grossman, Marc E; Appel, Gerald; Little, Alicia J; Ko, Christine J","Department of Dermatology, Yale University School of Medicine, New Haven, Connecticut, USA.; Department of Internal Medicine, Columbia University Medical Center, New York, New York, USA.; Department of Dermatology, Yale University School of Medicine, New Haven, Connecticut, USA.; Department of Dermatology, Yale University School of Medicine, New Haven, Connecticut, USA.; Department of Pathology, Yale University School of Medicine, New Haven, Connecticut, USA.",34779011,PMC8652641,2022-04-01 00:00:00,"Aged, 80 and over; COVID-19 Vaccines/*adverse effects; Drug-Related Side Effects and Adverse Reactions/complications/etiology/physiopathology; Humans; IgA Vasculitis/*etiology/pathology; Immunohistochemistry/methods; Male","Leukocytoclastic vasculitis has been reported in the setting of COVID-19 infection and post-COVID-19 vaccination. We report a case of IgA vasculitis (IgAV) post-COVID-19 vaccination, with immunoglobulin A (IgA) immune deposits in the skin and renal involvement. SARS-CoV spike protein immunohistochemical staining was negative. IgAV with skin and renal involvement is a potential reaction to COVID-19 vaccination.",Vaccine Publication
,,Membranous nephropathy following mRNA vaccination: https://pubmed.ncbi.nlm.nih.gov/34419553/,https://pubmed.ncbi.nlm.nih.gov/34419553 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8376522/,Membranous nephropathy following anti-COVID-19 mRNA vaccination.,"Gueguen, Lorraine; Loheac, Charlotte; Saidani, Nadia; Khatchatourian, Lydie","Department of Nephrology, Cornouaille Hospital Quimper, Quimper, France. Electronic address: lorraigue@gmail.com.; Department of Nephrology, Cornouaille Hospital Quimper, Quimper, France.; Department of Internal Medicine, Infectious Diseases and Haematology, Cornouaille Hospital Quimper, Quimper, France.; Department of Internal Medicine, Infectious Diseases and Haematology, Cornouaille Hospital Quimper, Quimper, France.",34419553,PMC8376522,2021-11-01 00:00:00,"*COVID-19 Vaccines/administration & dosage/adverse effects; *Glomerulonephritis, Membranous/diagnosis; Humans; *Vaccination/adverse effects; Vaccines, Synthetic/adverse effects",,Vaccine Publication
,,Membranous nephropathy following Pfizer: https://pubmed.ncbi.nlm.nih.gov/34332960/,https://pubmed.ncbi.nlm.nih.gov/34332960 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8321686/,A case of membranous nephropathy following Pfizer-BioNTech mRNA vaccination against COVID-19.,"Da, Yi; Goh, Giap Hean; Khatri, Priyanka","Division of Nephrology, Department of Medicine, National University Hospital, Singapore. Electronic address: yi_da@nuhs.edu.sg.; Department of Pathology, National University Hospital, Singapore.; Division of Nephrology, Department of Medicine, National University Hospital, Singapore; FAST and Chronic Programmes, Alexandra Hospital, Singapore.",34332960,PMC8321686,2021-10-01 00:00:00,"*COVID-19; *Glomerulonephritis, Membranous/drug therapy; Humans; RNA, Messenger; SARS-CoV-2; Vaccination",,Vaccine Publication
,,Other:
,,Gross hematuria after mRNA vaccination in two patients with histological and clinical diagnosis of IgA nephropathy: https://pubmed.ncbi.nlm.nih.gov/34766415/,https://pubmed.ncbi.nlm.nih.gov/34766415 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8646592/,Gross haematuria after mRNA COVID-19 vaccination in two patients with histological and clinical diagnosis of IgA nephropathy.,"Lo, Wai Kei; Chan, Kwok Wah","Department of Medicine, The University of Hong Kong, Pokfulam, Hong Kong.; Department of Pathology, The University of Hong Kong, Pokfulam, Hong Kong.",34766415,PMC8646592,2022-01-01 00:00:00,"Adult; BNT162 Vaccine/*adverse effects; Biopsy; COVID-19/*prevention & control; Female; Glomerulonephritis, IGA/*complications/epidemiology/pathology; Hematuria/*chemically induced/diagnosis; Humans; Kidney/*pathology; Middle Aged; SARS-CoV-2/*immunology; Vaccination/*adverse effects",,Vaccine Publication
,,Gross hematuria after Moderna vaccination for COVID in 2 patients with IgA nephropathy:https://pubmed.ncbi.nlm.nih.gov/33771584/,https://pubmed.ncbi.nlm.nih.gov/33771584 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7987498/,Gross hematuria following vaccination for severe acute respiratory syndrome coronavirus 2 in 2 patients with IgA nephropathy.,"Negrea, Lavinia; Rovin, Brad H","Department of Internal Medicine, Division of Nephrology, University Hospital Cleveland Medical Center, Case Western Reserve University, Cleveland, Ohio, USA.; Department of Internal Medicine, Division of Nephrology, The Ohio State University Wexner Medical Center, Columbus, Ohio, USA. Electronic address: brad.rovin@osumc.edu.",33771584,PMC7987498,2021-06-01 00:00:00,"*COVID-19; *Glomerulonephritis, IGA/complications/diagnosis; Hematuria/etiology; Humans; Immunity; Renal Replacement Therapy; SARS-CoV-2; Vaccination",,Vaccine Publication
,,Distinct glomerular disease after mRNA vaccination: A Vigibase analysis: https://pubmed.ncbi.nlm.nih.gov/34822875/,https://pubmed.ncbi.nlm.nih.gov/34822875 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8606315/,Distinct glomerular disease association after vaccination with BNT162b2 and,"Kronbichler, Andreas; Jung, Se Yong; Kim, Min Seo; Shin, Jae Il","Department of Medicine, University of Cambridge, Cambridge, UK.; Department of Pediatrics, Division of Pediatric Cardiology, Yonsei University College of Medicine, Seoul, Korea.; Samsung Advances Institute for Health Sciences and Technology, Samsung Medical Center, Sungkyunkwan University, Seoul, Korea.; Department of Pediatrics, Yonsei University College of Medicine, Seoul, Korea. Electronic address: shinji@yuhs.ac.",34822875,PMC8606315,2022-02-01 00:00:00,2019-nCoV Vaccine mRNA-1273; BNT162 Vaccine; *COVID-19/prevention & control; Humans; *Kidney Diseases; Vaccination/adverse effects,,Vaccine Publication
,,Renal Thrombotic Microangiopathy following Pfizer in a 35yoM: https://pubmed.ncbi.nlm.nih.gov/34451509/,https://pubmed.ncbi.nlm.nih.gov/34451509 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8400339/,Renal Thrombotic Microangiopathy in Concurrent COVID-19 Vaccination and Infection.,"De Fabritiis, Marco; Angelini, Maria Laura; Fabbrizio, Benedetta; Cenacchi, Giovanna; Americo, Claudio; Cristino, Stefania; Lifrieri, Maria Francesca; Cappuccilli, Maria; Spazzoli, Alessandra; Zambianchi, Loretta; Mosconi, Giovanni","Nephrology and Dialysis Unit, Morgagni-Pierantoni Hospital, AUSL Romagna, 47121 Forlì, Italy.; Nephrology and Dialysis Unit, Morgagni-Pierantoni Hospital, AUSL Romagna, 47121 Forlì, Italy.; Pathology Unit, IRCCS-Azienda Ospedaliero-Universitaria di Bologna, 40138 Bologna, Italy.; Department of Biomedical and Neuromotor Sciences, Alma Mater Studiorum University of Bologna, 40138 Bologna, Italy.; Pathological Anatomy, Sector of Diagnostic and Subcellular Pathology,; Nephrology and Dialysis Unit, Morgagni-Pierantoni Hospital, AUSL Romagna, 47121 Forlì, Italy.; Nephrology and Dialysis Unit, Morgagni-Pierantoni Hospital, AUSL Romagna, 47121 Forlì, Italy.; Nephrology and Dialysis Unit, Morgagni-Pierantoni Hospital, AUSL Romagna, 47121 Forlì, Italy.; Nephrology, Dialysis and Renal Transplant Unit, IRCCS-Azienda; Nephrology and Dialysis Unit, Morgagni-Pierantoni Hospital, AUSL Romagna, 47121 Forlì, Italy.; Nephrology and Dialysis Unit, Morgagni-Pierantoni Hospital, AUSL Romagna, 47121 Forlì, Italy.; Nephrology and Dialysis Unit, Morgagni-Pierantoni Hospital, AUSL Romagna, 47121 Forlì, Italy.",34451509,PMC8400339,2021-08-17 00:00:00,,"We report on the development of nephrotic proteinuria and microhematuria, with histological features of renal thrombotic microangiopathy (TMA), following the first dose of BNT162b2 COVID-19 vaccine (Pfizer-BioNTech) and COVID-19 diagnosis. A 35-year-old previously healthy man was admitted at our hospital due to the onset of foamy urine. Previously, 40 days earlier, he had received the first injection of the vaccine, and 33 days earlier, the RT-PCR for SARS-CoV-2 tested positive. Laboratory tests showed nephrotic proteinuria (7.9 gr/day), microhematuria, serum creatinine 0.91 mg/dL. Kidney biopsy revealed ultrastructural evidence of severe endothelial cell injury suggestive of a starting phase of TMA. After high-dose steroid treatment administration, complete remission of proteinuria was achieved in a few weeks. The association of COVID-19 with renal TMA has been previously described only in patients with acute renal injury. Besides, the correlation with COVID-19 vaccine has not been reported so far. The close temporal proximity (7 days) between the two events opens the question whether the histological findings should be ascribed to COVID-19 itself or to vaccine injection.",Vaccine Publication
